page,day,start_period,end_period,weeks,name,location,teacher
1,1,3,4,4-9周,数据库原理,广大慕课,熊伟
1,1,5,6,9-16周,计算机网络实验,电子楼518B,李福芳
1,1,7,8,1-3周,数据库原理,理科南613,熊伟
2,1,9,11,1-16周,计算机网络,理科南303（活）,李福芳
1,2,3,4,"1-6周,8-16周",数据库原理,理科南613,熊伟
1,2,5,6,12周,大学生心理健康教育实践课,文新502,谭庭松
1,2,7,8,16周,计算机体系结构与操作系统,文清210（阶）,张艳玲
1,3,1,2,1-16周,计算机体系结构与操作系统,理科南407,张艳玲
1,3,3,4,1-16周,毛泽东思想和中国特色社会主义理论体系概论,文清510（阶）,郭明
1,3,5,6,5-16周,计算机体系结构与操作系统实验,电子楼412B,张艳玲
1,3,7,8,1-16周,大学体育4,北区排球场1,余涛
2,3,9,11,1-16周,概率论与数理统计,理科南622（阶）,杨莲
1,4,1,2,1-10周,计算机体系结构与操作系统,理科南418（活）,张艳玲
1,4,5,6,1-16周,算法设计与分析,文渊505,陈彩云
1,4,7,8,1-16周,软件体系结构,理科南512,辛遥
2,4,9,10,11-15周,计算机体系结构与操作系统,理科南407,张艳玲
1,5,1,2,1-16周,习近平新时代中国特色社会主义思想,文新123（阶）,黄炬
2,5,9,10,12周,行星地球与生命,理科南605（活）,陈育晓
2,5,9,11,2-11周,行星地球与生命,理科南605（活）,陈育晓
1,6,5,8,3周,互联网金融（慕课）,理科南103,于之倩
1,6,5,8,6-14周,互联网金融（慕课）,文新119（阶）,于之倩
1,7,3,4,6-9周,互联网金融（慕课）,智慧树,于之倩
