page,day,start_period,end_period,weeks,name,location,teacher
1,1,1,2,9-16周,优化导论实验,电子楼418A,郑立刚
1,1,1,2,5-8周,自然语言处理,电子楼416A,杨朔
1,1,5,6,9-16周,软件工程导论,电子楼416A,庄育飞
2,1,9,10,11周,软件工程导论,文新315（活）,庄育飞
2,1,9,11,1-10周,软件工程导论,文新315（活）,庄育飞
1,2,1,2,1-12周,跟着音乐游中国（慕课）,文清707（阶）,屠金梅
1,2,3,4,1-16周,计算机视觉与模式识别,理科南513,谭恒良
1,2,5,6,"8周,14周",大学生心理健康教育2,文清304（活）,孙梦恬
1,3,3,4,9-16周,计算机视觉与模式识别实验,电子楼513,谭恒良
2,3,9,10,1-16周,优化导论,理科南214,郑立刚
1,4,3,4,1-16周,算法设计与分析,文渊607,杨柳
1,4,5,6,5-10周,形势与政策2,文新119（阶）,葛泽胜
1,6,1,2,13-16周,跟着音乐游中国（慕课）,智慧树,屠金梅
1,6,5,8,1-8周,DNA数据存储中的人工智能方法及应用,计机楼701,刘文斌
